#Top: zsys_wrapper   Floorplan: impl_1   Part: xc7z007sclg225-1
#Generated by: j.hartfiel   on: Mon Jun 12 14:19:13 2017
#Build: Vivado v2017.1   by: xbuild   on: Fri Apr 14 18:55:03 MDT 2017
#Package Version: FINAL 2012-11-02
#Package Pin Delay Version: VERS. 2.0 2012-11-02

IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
502,G2,IOPAD_X1Y69,PS_DDR_DQS_P1_502,58.425,59.012,,DDR_17383,DDR_dqs_p[1],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,
502,C2,IOPAD_X1Y68,PS_DDR_DQS_P0_502,79.053,79.848,,DDR_17383,DDR_dqs_p[0],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,
502,F2,IOPAD_X1Y65,PS_DDR_DQS_N1_502,55.076,55.629,,DDR_17383,DDR_dqs_n[1],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,
502,B2,IOPAD_X1Y64,PS_DDR_DQS_N0_502,82.605,83.435,,DDR_17383,DDR_dqs_n[0],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,
502,H2,IOPAD_X1Y47,PS_DDR_DQ15_502,36.902,37.273,,DDR_17383,DDR_dq[15],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,
502,H1,IOPAD_X1Y46,PS_DDR_DQ14_502,54.637,55.186,,DDR_17383,DDR_dq[14],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,
502,G1,IOPAD_X1Y45,PS_DDR_DQ13_502,53.855,54.397,,DDR_17383,DDR_dq[13],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,
502,F3,IOPAD_X1Y44,PS_DDR_DQ12_502,46.182,46.646,,DDR_17383,DDR_dq[12],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,
502,E3,IOPAD_X1Y43,PS_DDR_DQ11_502,61.520,62.138,,DDR_17383,DDR_dq[11],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,
502,E2,IOPAD_X1Y42,PS_DDR_DQ10_502,54.491,55.039,,DDR_17383,DDR_dq[10],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,
502,D1,IOPAD_X1Y41,PS_DDR_DQ9_502,70.381,71.088,,DDR_17383,DDR_dq[9],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,
502,E1,IOPAD_X1Y40,PS_DDR_DQ8_502,56.292,56.858,,DDR_17383,DDR_dq[8],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,
502,A3,IOPAD_X1Y39,PS_DDR_DQ7_502,97.545,98.525,,DDR_17383,DDR_dq[7],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,
502,C3,IOPAD_X1Y38,PS_DDR_DQ6_502,83.538,84.378,,DDR_17383,DDR_dq[6],INOUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,
